GEOID,tract,locality,race,group_total,group_total_moe,edu_level,estimate,percent,year,county,locality_num,tract_num,tractnames
51003010301,Census Tract 103.01,Albemarle County,Hispanic,19,26,hs_only,19,100,2022,Albemarle,003,010301,Berkmar Drive
51003010301,Census Tract 103.01,Albemarle County,Hispanic,19,26,bachelors_up,0,0,2022,Albemarle,003,010301,Berkmar Drive
51003010302,Census Tract 103.02,Albemarle County,White,720,107,less_than_hs,24,3.33,2022,Albemarle,003,010302,Polo Grounds Road
51003010302,Census Tract 103.02,Albemarle County,White,720,107,hs_only,172,23.89,2022,Albemarle,003,010302,Polo Grounds Road
51003010302,Census Tract 103.02,Albemarle County,White,720,107,bachelors_up,524,72.78,2022,Albemarle,003,010302,Polo Grounds Road
51003010302,Census Tract 103.02,Albemarle County,White_non_hisp,698,99,less_than_hs,24,3.44,2022,Albemarle,003,010302,Polo Grounds Road
51003010302,Census Tract 103.02,Albemarle County,White_non_hisp,698,99,hs_only,150,21.49,2022,Albemarle,003,010302,Polo Grounds Road
51003010302,Census Tract 103.02,Albemarle County,White_non_hisp,698,99,bachelors_up,524,75.07,2022,Albemarle,003,010302,Polo Grounds Road
51003010302,Census Tract 103.02,Albemarle County,Black,147,111,less_than_hs,0,0,2022,Albemarle,003,010302,Polo Grounds Road
51003010302,Census Tract 103.02,Albemarle County,Black,147,111,hs_only,108,73.47,2022,Albemarle,003,010302,Polo Grounds Road
51003010302,Census Tract 103.02,Albemarle County,Black,147,111,bachelors_up,39,26.53,2022,Albemarle,003,010302,Polo Grounds Road
51003010302,Census Tract 103.02,Albemarle County,Amer_Indian,0,13,less_than_hs,0,NA,2022,Albemarle,003,010302,Polo Grounds Road
51003010302,Census Tract 103.02,Albemarle County,Amer_Indian,0,13,hs_only,0,NA,2022,Albemarle,003,010302,Polo Grounds Road
51003010302,Census Tract 103.02,Albemarle County,Amer_Indian,0,13,bachelors_up,0,NA,2022,Albemarle,003,010302,Polo Grounds Road
51003010302,Census Tract 103.02,Albemarle County,Asian,17,18,less_than_hs,0,0,2022,Albemarle,003,010302,Polo Grounds Road
51003010302,Census Tract 103.02,Albemarle County,Asian,17,18,hs_only,0,0,2022,Albemarle,003,010302,Polo Grounds Road
51003010302,Census Tract 103.02,Albemarle County,Asian,17,18,bachelors_up,17,100,2022,Albemarle,003,010302,Polo Grounds Road
51003010302,Census Tract 103.02,Albemarle County,NHPI,0,13,less_than_hs,0,NA,2022,Albemarle,003,010302,Polo Grounds Road
51003010302,Census Tract 103.02,Albemarle County,NHPI,0,13,hs_only,0,NA,2022,Albemarle,003,010302,Polo Grounds Road
51003010302,Census Tract 103.02,Albemarle County,NHPI,0,13,bachelors_up,0,NA,2022,Albemarle,003,010302,Polo Grounds Road
51003010302,Census Tract 103.02,Albemarle County,Other,14,25,less_than_hs,0,0,2022,Albemarle,003,010302,Polo Grounds Road
51003010302,Census Tract 103.02,Albemarle County,Other,14,25,hs_only,0,0,2022,Albemarle,003,010302,Polo Grounds Road
51003010302,Census Tract 103.02,Albemarle County,Other,14,25,bachelors_up,14,100,2022,Albemarle,003,010302,Polo Grounds Road
51003010302,Census Tract 103.02,Albemarle County,Multi,31,44,less_than_hs,0,0,2022,Albemarle,003,010302,Polo Grounds Road
51003010302,Census Tract 103.02,Albemarle County,Multi,31,44,hs_only,0,0,2022,Albemarle,003,010302,Polo Grounds Road
51003010302,Census Tract 103.02,Albemarle County,Multi,31,44,bachelors_up,31,100,2022,Albemarle,003,010302,Polo Grounds Road
51003010302,Census Tract 103.02,Albemarle County,Hispanic,41,45,less_than_hs,0,0,2022,Albemarle,003,010302,Polo Grounds Road
51003010302,Census Tract 103.02,Albemarle County,Hispanic,41,45,hs_only,22,53.66,2022,Albemarle,003,010302,Polo Grounds Road
51003010302,Census Tract 103.02,Albemarle County,Hispanic,41,45,bachelors_up,19,46.34,2022,Albemarle,003,010302,Polo Grounds Road
51003010303,Census Tract 103.03,Albemarle County,White,3384,384,less_than_hs,66,1.95,2022,Albemarle,003,010303,Hollymead
51003010303,Census Tract 103.03,Albemarle County,White,3384,384,hs_only,1365,40.34,2022,Albemarle,003,010303,Hollymead
51003010303,Census Tract 103.03,Albemarle County,White,3384,384,bachelors_up,1953,57.71,2022,Albemarle,003,010303,Hollymead
51003010303,Census Tract 103.03,Albemarle County,White_non_hisp,3253,355,less_than_hs,40,1.23,2022,Albemarle,003,010303,Hollymead
51003010303,Census Tract 103.03,Albemarle County,White_non_hisp,3253,355,hs_only,1332,40.95,2022,Albemarle,003,010303,Hollymead
51003010303,Census Tract 103.03,Albemarle County,White_non_hisp,3253,355,bachelors_up,1881,57.82,2022,Albemarle,003,010303,Hollymead
51003010303,Census Tract 103.03,Albemarle County,Black,91,70,less_than_hs,0,0,2022,Albemarle,003,010303,Hollymead
51003010303,Census Tract 103.03,Albemarle County,Black,91,70,hs_only,45,49.45,2022,Albemarle,003,010303,Hollymead
51003010303,Census Tract 103.03,Albemarle County,Black,91,70,bachelors_up,46,50.55,2022,Albemarle,003,010303,Hollymead
51003010303,Census Tract 103.03,Albemarle County,Amer_Indian,0,19,less_than_hs,0,NA,2022,Albemarle,003,010303,Hollymead
51003010303,Census Tract 103.03,Albemarle County,Amer_Indian,0,19,hs_only,0,NA,2022,Albemarle,003,010303,Hollymead
51003010303,Census Tract 103.03,Albemarle County,Amer_Indian,0,19,bachelors_up,0,NA,2022,Albemarle,003,010303,Hollymead
51003010303,Census Tract 103.03,Albemarle County,Asian,233,140,less_than_hs,22,9.44,2022,Albemarle,003,010303,Hollymead
51003010303,Census Tract 103.03,Albemarle County,Asian,233,140,hs_only,85,36.48,2022,Albemarle,003,010303,Hollymead
51003010303,Census Tract 103.03,Albemarle County,Asian,233,140,bachelors_up,126,54.08,2022,Albemarle,003,010303,Hollymead
51003010303,Census Tract 103.03,Albemarle County,NHPI,0,19,less_than_hs,0,NA,2022,Albemarle,003,010303,Hollymead
51003010303,Census Tract 103.03,Albemarle County,NHPI,0,19,hs_only,0,NA,2022,Albemarle,003,010303,Hollymead
51003010303,Census Tract 103.03,Albemarle County,NHPI,0,19,bachelors_up,0,NA,2022,Albemarle,003,010303,Hollymead
51003010303,Census Tract 103.03,Albemarle County,Other,0,19,less_than_hs,0,NA,2022,Albemarle,003,010303,Hollymead
51003010303,Census Tract 103.03,Albemarle County,Other,0,19,hs_only,0,NA,2022,Albemarle,003,010303,Hollymead
51003010303,Census Tract 103.03,Albemarle County,Other,0,19,bachelors_up,0,NA,2022,Albemarle,003,010303,Hollymead
51003010303,Census Tract 103.03,Albemarle County,Multi,197,116,less_than_hs,28,14.21,2022,Albemarle,003,010303,Hollymead
51003010303,Census Tract 103.03,Albemarle County,Multi,197,116,hs_only,60,30.46,2022,Albemarle,003,010303,Hollymead
51003010303,Census Tract 103.03,Albemarle County,Multi,197,116,bachelors_up,109,55.33,2022,Albemarle,003,010303,Hollymead
51003010303,Census Tract 103.03,Albemarle County,Hispanic,190,132,less_than_hs,26,13.68,2022,Albemarle,003,010303,Hollymead
51003010303,Census Tract 103.03,Albemarle County,Hispanic,190,132,hs_only,61,32.11,2022,Albemarle,003,010303,Hollymead
51003010303,Census Tract 103.03,Albemarle County,Hispanic,190,132,bachelors_up,103,54.21,2022,Albemarle,003,010303,Hollymead
51003010401,Census Tract 104.01,Albemarle County,White,3106,570,less_than_hs,361,11.62,2022,Albemarle,003,010401,Stony Point-Keswick
51003010401,Census Tract 104.01,Albemarle County,White,3106,570,hs_only,1022,32.9,2022,Albemarle,003,010401,Stony Point-Keswick
51003010401,Census Tract 104.01,Albemarle County,White,3106,570,bachelors_up,1723,55.47,2022,Albemarle,003,010401,Stony Point-Keswick
51003010401,Census Tract 104.01,Albemarle County,White_non_hisp,3061,570,less_than_hs,361,11.79,2022,Albemarle,003,010401,Stony Point-Keswick
51003010401,Census Tract 104.01,Albemarle County,White_non_hisp,3061,570,hs_only,1022,33.39,2022,Albemarle,003,010401,Stony Point-Keswick
51003010401,Census Tract 104.01,Albemarle County,White_non_hisp,3061,570,bachelors_up,1678,54.82,2022,Albemarle,003,010401,Stony Point-Keswick
51003010401,Census Tract 104.01,Albemarle County,Black,318,161,less_than_hs,20,6.29,2022,Albemarle,003,010401,Stony Point-Keswick
51003010401,Census Tract 104.01,Albemarle County,Black,318,161,hs_only,256,80.5,2022,Albemarle,003,010401,Stony Point-Keswick
51003010401,Census Tract 104.01,Albemarle County,Black,318,161,bachelors_up,42,13.21,2022,Albemarle,003,010401,Stony Point-Keswick
51003010401,Census Tract 104.01,Albemarle County,Amer_Indian,0,13,less_than_hs,0,NA,2022,Albemarle,003,010401,Stony Point-Keswick
51003010401,Census Tract 104.01,Albemarle County,Amer_Indian,0,13,hs_only,0,NA,2022,Albemarle,003,010401,Stony Point-Keswick
51003010401,Census Tract 104.01,Albemarle County,Amer_Indian,0,13,bachelors_up,0,NA,2022,Albemarle,003,010401,Stony Point-Keswick
51003010401,Census Tract 104.01,Albemarle County,Asian,0,13,less_than_hs,0,NA,2022,Albemarle,003,010401,Stony Point-Keswick
51003010401,Census Tract 104.01,Albemarle County,Asian,0,13,hs_only,0,NA,2022,Albemarle,003,010401,Stony Point-Keswick
51003010401,Census Tract 104.01,Albemarle County,Asian,0,13,bachelors_up,0,NA,2022,Albemarle,003,010401,Stony Point-Keswick
